"","author","title"
"14787","Abouzeid H","Effect of intravenous crystalloid infusion on postoperative nausea and vomiting after thyroidectomy: a prospective, randomized, controlled study"
"14788","Abuzeid HAM","Synthesis, structure characterization and magnetic properties of nanosize LiCo(1-y)Ni(y)O(2) prepared by sol-gel citric acid route"
"14789","Abouzeid H","A New Locus for Congenital Cataract, Microcornea, Microphthalmia, and Atypical Iris Coloboma Maps to Chromosome 2"
"14790","Abashidze M","Molecular insights into the biosynthesis of the F-420 coenzyme"
"14791","Aboushady H","Continuous-Time Sigma Delta Modulators With VCO-Based Voltage-to-Phase and Voltage-to-Frequency Quantizers"
"14792","Aboushady H","Main Defects of LC-Based Sigma Delta Modulators"
"14793","Aboushady H","LNA Automatic Synthesis and Characterization for Accurate RF System-Level Simulation"
"14794","Aboushady H","Simple architecture for subsampling LC-based Sigma D modulators"
"14795","Aboushady H","Sinusoidal RF DACs for undersampled LC bandpass Sigma Delta modulators"
"14796","Aboushady H","Modeling heterogeneous systems using SystemC-AMS case study: A wireless sensor network node"
"14797","Aboushady H","Systematic design procedure for Q-enhanced. integrated LC filters"
"14798","Aboushady H","Modeling Wireless Sensor Network nodes using SystemC-AMS"
"14799","Aboushady H","Modeling and refining heterogeneous systems with SystemC-AMS: Application to WSN"
"14800","Aboushady H","Efficient and refined modeling of wireless sensor network nodes using SystemC-AMS"
"14801","Aboushady H","Using excess loop delay to simplify LC-based Sigma Delta modulators"
"14802","Aboushady H","Fast and accurate jitter simulation technique for continuous-time Sigma Delta modulators"
"14803","Aboushady H","Automatic Model Refinement of GmC Integrators for High-Level Simulation of Continuous-Time Sigma-Delta Modulators"
"14804","Aboushady H","The Design of RF Bandpass Sigma Delta Modulator with Bulk Acoustic Wave Resonators"
"14805","Aboushady H","A 1.3V 26mW 3.2GS/s Undersampled LC Bandpass Sigma Delta ADC for a SDR ISM-band Receiver in 130nm CMOS"
"14806","Abisafi C","Influence of knee flexion angle on femoral tunnel characteristics when drilled through the anteromedial portal during anterior cruciate ligament reconstruction"
"14807","Abisafi C","Effect of Knee Flexion Angle on Length and Orientation of Posterolateral Femoral Tunnel Drilled Through Anteromedial Portal During Anatomic Double-Bundle Anterior Cruciate Ligament Reconstruction"
"14808","Abouzahir A","Three case-reports of viperin envenoming in Morocco"
"14809","Abusaloua A","High-performance catalytic wet air oxidation (CWAO) of organic acids and phenol in interfacial catalytic membrane contactors under optimized wetting conditions"
"14810","Abasolo J","Virtual Objects in Large Scale Health Information Systems"
"14811","Abusaloua A","Wet air oxidation with tubular ceramic membranes modified with polyelectrolyte/Pt nanoparticle films"
"14812","Abasolo W","Pectin May Hinder the Unfolding of Xyloglucan Chains during Cell Deformation: Implications of the Mechanical Performance of Arabidopsis Hypocotyls with Pectin Alterations"
"14813","Abasolo J","Knowledge Based Query Processing in Large Scale Virtual Organizations"
"14814","Abousaleh M","Modeling and Simulation of the Failure and Stiffness Degradation of a Graphite Epoxy in a Three Point Bending Test"
"14815","Abousalham A","Isolation, identification and characterization of a new lipolytic Pseudomonas sp., strain AHD-1, from Tunisian soil"
"14816","Abousalham A","In vitro stereoselective hydrolysis of diacylglycerols by hormone-sensitive lipase"
"14817","Abousalham A","Effect of nonionic surfacants on Rhizopus homothallicus lipase activity - A comparative kinetic study"
"14818","Abousalham A","High-level constitutive expression in Pichia pastoris and one-step purification of phospholipase D from cowpea (Vigna unguiculata L. Walp)"
"14819","Abousalham A","Development of an indirect method for measuring porcine pancreatic lipase in human duodenal fluid"
"14820","Abousalham A","The phospholipase A(2) inhibitor methyl indoxam suppresses diet-induced obesity and glucose intolerance in mice"
"14821","Abahssain H","Chemotherapy in gallbladder carcinoma"
"14822","Aboussouan P","High-visibility two-photon interference at a telecom wavelength using picosecond-regime separated sources"
"14823","Abazine A","Influence of three nasal continuous positive airway pressure devices on breathing pattern in preterm infants"
"14824","Abazine A","Noradrenaline for management of septic shock refractory to fluid loading and dopamine or dobutamine in full-term newborn infants"
"14825","Abazine A","Management of severe respiratory failure in the newborn: indication of inhaled NO"
"14826","Abbaskhan A","Botanical origin of Indian celery seed (fruit)"
"14827","Aboussouan P","Integrated optical source of polarization entangled photons at 1310 nm"
"14828","Abuzanat H","FQ-EDCA: An Extension of EDCA to improve Fairness in Ad-hoc Wireless Network"
"14829","Abuzanat H","Fair Queuing Model for EDCA to optimize QoS in Ad-hoc Wireless Network"
"14830","Abizanda G","A ROLE FOR CARDIOTROPHIN-1 IN MYOCARDIAL FIBROSIS AND LEFT VENTRICULAR DYSFUNCTION"
"14831","Abizanda G","Transplantation of adipose derived stromal cells is associated with functional improvement in a rat model of chronic myocardial infarction"
"14832","Abizanda R","Prevalence and Factors of Intensive Care Unit Conflicts The Conflicus Study"
"14833","Aboussair N","The mutation 35delG of the gene of the connexin 26 is a frequent cause of autosomal-recessive non-syndromic hearing loss in Morocco"
"14834","Abusaris H","PRIMARY PINEAL TUMORS-OUTCOME AND PROGNOSTIC FACTORS: A STUDY FROM THE RARE CANCER NETWORK (RCN)"
"14835","Abousaris H","Primary Pineal Tumors; Outcome and prognostic factors: A study from the rare cancer network (RCN)"
"14836","Aboussoror E","Towards Model Based Development of Managed Networked Embedded Systems"
"14837","Abisset S","Pyrosol deposition of anatase TiO2 thin films starting from Ti(O-i Pr)(4)/acetylacetone solutions"
"14838","Abazov VM","Search for ZH -> l(+)l(-) b(b)over-bar Production in 4.2 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"14839","Abazov VM","Search for Diphoton Events with Large Missing Transverse Energy in 6.3 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"14840","Abazov VM","Search for Events with Leptonic Jets and Missing Transverse Energy in p(p)over-bar Collisions at root s=1.96 TeV"
"14841","Abazov VM","Search for New Fermions (""Quirks'') at the Fermilab Tevatron Collider"
"14842","Abazov VM","Dependence of the t(t)over-bar production cross section on the transverse momentum of the top quark"
"14843","Abazov VM","Measurement of the normalized Z/gamma* -> mu(+)mu(-) transverse momentum distribution in p(p)over-bar collisions at root s=1.96 TeV"
"14844","Abazov VM","Measurement of the dijet invariant mass cross section in p(p)over-bar collisions at root s=1.96 TeV"
"14845","Abazov VM","Search for the rare decay B-s(0) -> mu(+)mu(-)"
"14846","Abazov VM","Search for Sneutrino Production in e mu Final States in 5.3 fb(-1) of p(p)over-bar Collisions at root s = 1.96 TeV"
"14847","Abazov VM","Measurement of t(t)over-bar production in the tau plus jets topology using p(p)over-bar collisions root s=1.96 TeV"
"14848","Abazov VM","Search for flavor changing neutral currents via quark-gluon couplings in single top quark production using 2.3 fb(-1) of p(p)over-bar collisions"
"14849","Abazov VM","Search for scalar bottom quarks and third-generation leptoquarks in p(p)over-bar collisions at root s=1.96 TeV"
"14850","Abazov VM","Evidence for an Anomalous Like-Sign Dimuon Charge Asymmetry"
"14851","Abazov VM","Evidence for an anomalous like-sign dimuon charge asymmetry"
"14852","Abazov VM","Measurement of the t(t)over-bar cross section using high-multiplicity jet events"
"14853","Abazov VM","b-Jet identification in the D0 experiment"
"14854","Abazov VM","Search for CP violation in B-s(0) -> mu(+) D-s(-) X decays in p(p)over-bar collisions at root s=1.96 TeV"
"14855","Abazov VM","Combined Tevatron upper limit on gg -> H -> W+W- and constraints on the Higgs boson mass in fourth-generation fermion models"
"14856","Abazov VM","Measurement of direct photon pair production cross sections in p(p)over-bar collisions at root s=1.96 TeV"
"14857","Abazov VM","Search for single top quarks in the tau plus jets channel using 4.8 fb(-1) of p(p)over-bar collision data"
"14858","Abazov VM","Search for Randall-Sundrum Gravitons in the Dielectron and Diphoton Final States with 5.4 fb(-1) of Data from p(p)over-bar Collisions at root s=1.96 TeV"
"14859","Abazov VM","Search for the Associated Production of a b Quark and a Neutral Supersymmetric Higgs Boson that Decays into tau Pairs"
"14860","Abazov VM","Double parton interactions in gamma+3 jet events in p(p)over-bar collisions at root s=1.96 TeV"
"14861","Abazov VM","Search for the Standard Model Higgs Boson in the ZH -> v(v)over-barb(b)over-bar Channel in 5.2 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"14862","Abazov VM","Search for a Resonance Decaying into WZ Boson Pairs in p(p)over-bar Collisions"
"14863","Abazov VM","Combination of Tevatron Searches for the Standard Model Higgs Boson in the W+W- Decay Mode"
"14864","Abazov VM","Search for Higgs Boson Production in Dilepton and Missing Energy Final States with 5.4 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"14865","Abazov VM","Measurement of the t-channel single top quark production cross section"
"14866","Abazov VM","Measurement of Z/gamma* plus jet plus X angular distributions in p(p)over-bar collisions at root s=1.96 TeV"
"14867","Abazov VM","Measurement of the p(p)over-bar -> WZ+X cross section at root s=1.96 TeV and limits on WWZ trilinear gauge couplings"
"14868","Abazov VM","Search for production of single top quarks via tcg and tug flavor-changing-neutral-current couplings"
"14869","Abazov VM","Search for a Higgs boson produced in association with a Z boson in p(p)over-bar collisions"
"14870","Abazov VM","Measurement of the Lambda(0)(b) lifetime using semileptonic decays"
"14871","Abazov VM","Search for B(s)(0)->mu(+)mu(-) decays at D0"
"14872","Abazov VM","Measurement of the t(t)over-bar production cross section in p(p)over-bar collisions at root s=1.96 TeV using kinematic characteristics of lepton plus jets events"
"14873","Abazov VM","Properties of l=1 B-1 and B*(2) Mesons"
"14874","Abazov VM","Measurement of the top quark mass in the dilepton channel"
"14875","Abazov VM","Measurement of the Lambda(b) lifetime in the exclusive decay Lambda(b)-> J/psi Lambda"
"14876","Abazov VM","Measurement of the p(p)over-bar -> t(t)over-bar + X production cross section at root s=1.96 TeV in the fully hadronic decay channel"
"14877","Abazov VM","Search for stopped gluinos from p(p)over-bar collisions at root s=1.96 TeV"
"14878","Abazov VM","Z gamma production and limits on anomalous ZZ gamma and Z gamma gamma couplings in pp collisions at root s=1.96 TeV"
"14879","Abazov VM","Measurement of the t(t)over-bar production cross section in p(p)over-bar collisions using dilepton events"
"14880","Abazov VM","Combined D0 measurements constraining the CP-violating phase and width difference in the B-s(0) system"
"14881","Abazov VM","Search for third-generation scalar leptoquarks in p(p)over-bar collisions at root s=1.96 TeV"
"14882","Abazov VM","Direct observation of the strange b baryon Xi(-)(b)"
"14883","Abazov VM","Measurement of the shape of the boson rapidity distribution for p(p)over-bar -> Z/gamma(*)-> e(+)e(-)+X events produced at root s of 1.96 TeV"
"14884","Abazov VM","Search for techniparticles in e plus jets events at D0"
"14885","Abazov VM","Evidence for production of single top quarks and first direct measurement of vertical bar V-tb vertical bar"
"14886","Abazov VM","Measurement of the top quark mass in the lepton plus jets channel using the ideogram method"
"14887","Abazov VM","Multivariate searches for single top quark production with the D0 detector"
"14888","Abazov VM","Measurement of the charge asymmetry in semileptonic B-s(0) decays"
"14889","Abazov VM","Search for single production of scalar leptoquarks in p(p)over-bar collisions decaying into muons and quarks with the D0 detector"
"14890","Abazov VM","Lifetime difference and CP-violating phase in the B-s(0) system"
"14891","Abazov VM","Search for the pair production of scalar top quarks in the acoplanar charm jet final state in p(p)over-bar collisions at root s=1.96 TeV"
"14892","Abasova L","Non-photochemical-quenching mechanisms in the cyanobacterium Thermosynecococcus"
"14893","Abazov VM","Measurement of the W boson helicity in top quark decays at D0"
"14894","Abazov VM","Experimental discrimination between charge 2e/3 top quark and charge 4e/3 exotic quark production scenarios"
"14895","Abazov VM","Study of the decay B(s)(0)-> D(s)((*))D(s)((*))"
"14896","Abazov VM","Search for the Standard Model Higgs Boson in the Missing Energy and Acoplanar b-Jet Topology at root s=1.96 TeV"
"14897","Abazov VM","Search for Anomalous Wtb Couplings in Single Top Quark Production"
"14898","Abazov VM","Search for Neutral Higgs Bosons in Multi-b-Jet Events in pp Collisions at s=1.96 TeV"
"14899","Abazov VM","Measurement of differential Z/gamma* plus jet plus X cross sections in p(p)over-bar collisions at root S=1.96 TeV"
"14900","Abazov VM","Measurement of the Electron Charge Asymmetry in p(p)over-bar -> W plus X -> e nu plus X Events at root s=1.96 TeV"
"14901","Abazov VM","Measurement of the Forward-Backward Charge Asymmetry and Extraction of sin(2)theta(eff)(W) in pp -> Z/gamma(*)+X -> e(+)e(-)+X Events Produced at s=1.96 TeV"
"14902","Abazov VM","Measurement of the Polarization of the Upsilon(1S) and Upsilon(2S) States in pp Collisions at s=1.96 TeV"
"14903","Abazov VM","Precise Measurement of the Top-Quark Mass from lepton plus jets Events"
"14904","Abazov VM","Observation of ZZ Production in p(p)over-bar Collisions at root s=1.96 TeV"
"14905","Abazov VM","Search for scalar leptoquarks and T-odd quarks in the acoplanar jet topology using 2.5 fb(-1) of p(p)over-bar collision data at root s=1.96 TeV"
"14906","Abazov VM","Search for t(t)over-bar resonances in the lepton plus jets final state in p(p)over-bar collisions at root s=1.96 TeV"
"14907","Abasova L","Occurrence and function of the orange carotenoid protein in photoprotective mechanisms in various cyanobacteria"
"14908","Abazov VM","ZZ -> l(+)l(-)nu(nu)overbar production in p(p)overbar collisions at root s=1.96 TeV"
"14909","Abazov VM","Search for long-lived particles decaying into electron or photon pairs with the D0 detector"
"14910","Abazov VM","Measurement of the differential cross section for the production of an isolated photon with associated jet in p(p)over-bar collisions at root s=1.96 TeV"
"14911","Abazov VM","Search for pair production of doubly charged Higgs bosons in the H(++)H(--)->mu(+)mu(+)mu(-)mu(-) final state"
"14912","Abazov VM","Search for Higgs bosons decaying to tau pairs in p(p)over-bar collisions with the D0 detector"
"14913","Abazov VM","Measurement of the inclusive jet cross section in p(p)over-bar collisions at root s=1.96 TeV"
"14914","Abazov VM","Measurement of the ratio of the p(p)over-bar -> W + c-jet cross section to the inclusive p(p)over-bar -> W + jets cross section"
"14915","Abazov VM","Search for decay of a fermiophobic Higgs boson h(f) -> gamma gamma with the D0 detector at root s=1.96 TeV"
"14916","Abazov VM","Observation of the B(c) meson in the exclusive decay B(c)-> J/psi pi"
"14917","Abazov VM","Search for large extra dimensions via single photon plus missing energy final states at root s=1.96 TeV"
"14918","Abazovi VM","Search for scalar top quarks in the acoplanar charm jets and missing transverse energy final state in p(p)over-bar collisions at root s=1.96 TeV"
"14919","Abazov VM","Evidence for production of single top quarks"
"14920","Abazov VM","First study of the radiation-amplitude zero in W gamma production and limits on anomalous WW gamma couplings at root s=1.96 TeV"
"14921","Abazov VM","Search for scalar neutrino superpartners in e+mu final states in p(p)over-bar collisions at root s=1.96 TeV"
"14922","Abazov VM","Search for W ' boson resonances decaying to a top quark and a bottom quark"
"14923","Abazov VM","Study of direct CP violation in B(+/-)-> J/psi K(+/-)(pi(+/-)) decays"
"14924","Abazov VM","Simultaneous measurement of the ratio R = B(t -> Wb)/B(t -> Wq) and the top-quark pair production cross section with the D0 detector at root s=1.96 TeV"
"14925","Abazov VM","Measurement of the t(t)over-bar production cross section in p(p)over-bar collisions at root s=1.96 TeV"
"14926","Abazov VM","A combined search for the standard model Higgs boson at root S=1.96 TeV"
"14927","Abazov VM","Search for excited electrons in p(p)over-bar collisions at root s=1.96 TeV"
"14928","Abazov VM","Measurement of the forward-backward charge asymmetry in top-quark pair production"
"14929","Abazov VM","Search for ZZ and z gamma* production in p(p)over-bar collisions at root s=1.96 TeV and limits on anomalous ZZZ and ZZ gamma* couplings"
"14930","Abazov VM","Search for flavor-changing-neutral-current D meson decays"
"14931","Abazov VM","Measurement of the shape of the boson-transverse momentum distribution in p(p)over-bar -> Z/gamma*-> e(+)e(-)+X events produced at root s=1.96 TeV"
"14932","Abazov VM","Search for Randall-Sundrum gravitons with 1 fb(-1) of data from p(p)over-bar collisions at root s=1.96 TeV"
"14933","Abazov VM","Search for squarks and gluinos in events with jets and missing transverse energy using 2.1 fb(-1) of p(p)over-bar collision data at root s=1.96 TeV - D phi Collaboration"
"14934","Abazov VM","Observation and properties of the orbitally excited B-s2* meson"
"14935","Abazov VM","Model-independent measurement of the W-boson helicity in top-quark decays at D0"
"14936","Abazov VM","Search for supersymmetry in di-photon final states at root s=1.96 TeV"
"14937","Abazov VM","Search for W ' bosons decaying to an electron and a neutrino with the D0 detector"
"14938","Abazov VM","Search for the lightest scalar top quark in events with two leptons in p(p)over-bar collisions at root s=1.96 TeV"
"14939","Abazov VM","Measurement of the isolated photon cross section in p(p)over-bar collisions at root s = 1.96 TeV (vol 639, pg 151, 2006)"
"14940","Abazov VM","Measurement of the ratios of the Z/gamma*+ >= n jet production cross sections to the total inclusive Z/gamma* cross section in p(p)over-bar collisions at root s=1.96 TeV"
"14941","Abazov VM","Measurement of the muon charge asymmetry from W boson decays"
"14942","Abazov VM","Search for Third Generation Scalar Leptoquarks Decaying into tau b"
"14943","Abazov VM","Measurement of B-s(0) Mixing Parameters from the Flavor-Tagged Decay B-s(0)-> J/psi phi"
"14944","Abazov VM","Observation of the Doubly Strange b Baryon Omega(-)(b)"
"14945","Abazov VM","Search for charged Higgs bosons in top quark decays"
"14946","Abazov VM","Direct Measurement of the W Boson Width"
"14947","Abazov VM","Determination of the strong coupling constant from the inclusive jet cross section in pp collisions at s=1.96 TeV"
"14948","Abazov VM","Measurement of the WW Production Cross Section with Dilepton Final States in pp Collisions at s=1.96 TeV and Limits on Anomalous Trilinear Gauge Couplings"
"14949","Abazov VM","Measurement of Dijet Angular Distributions at s=1.96 TeV and Searches for Quark Compositeness and Extra Spatial Dimensions"
"14950","Abazov VM","Search for pair production of first-generation leptoquarks in p(p)over-bar collisions at root s=1.96 TeV"
"14951","Abazov VM","Measurement of the top quark mass in final states with two leptons"
"14952","Abazov VM","A novel method for modeling the recoil in W boson events at hadron colliders"
"14953","Abazov VM","Measurement of the W Boson Mass"
"14954","Abazov VM","Combination of t(t)over-bar cross section measurements and constraints on the mass of the top quark and its decays into charged Higgs bosons"
"14955","Abazov VM","Direct Measurement of the Mass Difference between Top and Antitop Quarks"
"14956","Abazov VM","Search for squark production in events with jets, hadronically decaying tau leptons and missing transverse energy at root s=1.96 TeV"
"14957","Abazov VM","Search for associated production of charginos and neutralinos in the trilepton final state using 2.3 fb(-1) of data"
"14958","Abazov VM","Measurement of trilinear gauge boson couplings from WW plus WZ -> lvjj events in p(p)over-bar collisions at root s=1.96 TeV"
"14959","Abazov VM","Search for charged Higgs bosons in decays of top quarks"
"14960","Abazov VM","Observation of Single Top-Quark Production"
"14961","Abazov VM","Measurement of the t(t)over-bar production cross section and top quark mass extraction using dilepton events in p(p)over-bar collisions"
"14962","Abazov VM","Search for Dark Photons from Supersymmetric Hidden Valleys"
"14963","Abazov VM","Search for Resonant Pair Production of Neutral Long-Lived Particles Decaying to b(b)over-bar in p(p)over-bar Collisions at root s=1.96 TeV"
"14964","Abazov VM","Search for Next-to-Minimal Supersymmetric Higgs Bosons in the h -> aa ->mu mu mu mu, mu mu tau tau Channels Using pp Collisions at s=1.96 TeV"
"14965","Abazov VM","Measurements of differential cross sections of Z/gamma* plus jets plus X events in p(p)over-bar collisions at root s=1.96 TeV"
"14966","Abazov VM","Search for the Standard Model Higgs Boson in Tau Final States"
"14967","Abazov VM","Search for Resonant Diphoton Production with the D0 Detector"
"14968","Abazov VM","Relative rates of B meson decays into psi(2S) and J/psi mesons"
"14969","Abazov VM","Measurement of the Z gamma -> nu(nu)over-bar gamma Production Cross Section and Limits on Anomalous ZZ gamma and Z gamma gamma Couplings in p(p)over-bar Collisions at root s=1.96 TeV"
"14970","Abazov VM","Search for the lightest scalar top quark in events with two leptons in p(p)over-bar collisions at root s=1.96 TeV"
"14971","Abazov VM","Search for Charged Higgs Bosons Decaying into Top and Bottom Quarks in pp Collisions"
"14972","Abazov VM","Measurement of gamma + b + X and gamma + c + X Production Cross Sections in pp > Collisions at s=1.96 TeV"
"14973","Abazov VM","Search for Long-Lived Charged Massive Particles with the D0 Detector"
"14974","Abazov VM","Evidence of WW and WZ Production with lepton plus jets Final States in pp Collisions at root s=1.96 TeV"
"14975","Abazov VM","Search for admixture of scalar top quarks in the t(t)over-bar lepton + jets final state at root s=1.96 TeV"
"14976","Abazov VM","Search for Anomalous Top-Quark Couplings with the D0 Detector"
"14977","Abazov VM","Measurement of the Lifetime of the B-c(+/-) Meson in the Semileptonic Decay Channel"
"14978","Abazov VM","Evidence for the Decay B-s(0)->(DsDs(*))-D-(*) and a Measurement of Delta Gamma(CP)(s)/Gamma(s)"
"14979","Abazov VM","Measurement of the Semileptonic Branching Ratio of Bs(0) to an Orbitally Excited D-s** State: Br(Bs(0) -> Ds1(-)(2536)mu(+)nu X)"
"14980","Abazov VM","Search for Large Extra Spatial Dimensions in the Dielectron and Diphoton Channels in p(p)over-bar Collisions at root s=1.96 TeV"
"14981","Abazov VM","Search for Neutral Higgs Bosons at High tan beta in the b(h/H/A) -> b tau(+)tau(-) Channel"
"14982","Abazov VM","Search for Associated W and Higgs Boson Production in p(p)over-bar Collisions at root s=1.96 TeV"
"14983","Abazov VM","Search for a scalar or vector particle decaying into Z gamma in p(p)over-bar collisions at root s=1.96 TeV"
"14984","Abazov VM","Measurement of the Angular and Lifetime Parameters of the Decays B-d(0) -> J/psi K*(0) and B-s(0) -> J/psi phi"
"14985","Abazov VM","Search for pair production of second generation scalar leptoquarks"
"14986","Abazov VM","Measurement of sigma(p(p)over-bar -> Z plus X)Br(Z -> tau(+)tau(-)) at root s=1.96 TeV"
"14987","Abazov VM","Search for particles decaying into a Z boson and a photon in collisions p (p)over-bar at root s = 1.96 TeV (vol 641, pg 415, 2006)"
"14988","Abascal-Palacios G","Structural basis for the wobbler mouse neurodegenerative disorder caused by mutation in the Vps54 subunit of the GARP complex"
"14989","Abascal FJ","Histological study of the effects of treatment with gonadotropin-releasing hormone agonist (GnRHa) on the reproductive maturation of captive-reared Atlantic bluefin tuna (Thunnus thynnus L.)"
"14990","Abascal FJ","Characterization of sperm motility in sea bass: the effect of heavy metals and physicochemical variables on sperm motility"
"14991","Abascal JFPJ","3-D Eddy-Current Imaging of Metal Tubes by Gradient-Based, Controlled Evolution of Level Sets"
"14992","Abascal JFPJ","Use of anisotropic modelling in electrical impedance tomography; Description of method and preliminary assessment of utility in imaging brain function in the adult human head"
"14993","Abascal FJ","Spatial-temporal pattern of bluefin tuna (Thunnus thynnus L. 1758) gonad maturation across the Mediterranean Sea"
"14994","Abesdris J","Safety and efficiency of a home detoxification program vs an inpatient program among 250 alcoholics. Results of the in/out study"
"14995","Abezgauz L","Fibrillar superstructure from extended nanotapes formed by a collagen-stimulating peptide"
"14996","Abasq ML","How Do Phenolic Compounds React toward Superoxide Ion? A Simple Electrochemical Method for Evaluating Antioxidant Capacity"
"14997","Abasq C","Toll-Like receptor-8 engagement on artificial antigen-presenting cell-expanded CD8+T lymphocytes"
"14998","Abasq C","Toll-Like Receptor-8 engagement on Artificial Antigen-Presenting Cell-expanded CD8+T lymphocytes"
"14999","Abasq C","Low-grade cutaneous B-cell lymphoma: Failure of intralesional rituximab (Mabthera (R))"
"15000","Abasq ML","Validation of a new method using the reactivity of electrogenerated superoxide radical in the antioxidant capacity determination of flavonoids"
"15001","Abasq ML","Determination of entacapone by differential pulse polarography in pharmaceutical formulation"
"15002","Abasq C","Toll-like receptor-8 engagement on Artificial antigen-presenting cell-expanded CD8+T lymphocytes"
"15003","Abasq C","Toll-Like Receptor-8 engagement in Artificial Antigen-Presenting Cell-expanded CD8+T lymphocytes"
"15004","Abasq C","ELISA Testing of Anti-Desmoglein 1 and 3 Antibodies in the Management of Pemphigus"
"15005","Abasq ML","Substituent effects of 1,2-dithiole groups on the electrochemical oxidation of some ferrocenyl-1,2-dithiole compounds"
"15006","Abousleiman V","Modeling of spur and helical gear planetary drives with flexible ring gears and planet carriers"
"15007","Abusnina A","Induction of apoptosis by thymoquinone in lymphoblastic leukemia Jurkat cells is mediated by a p73-dependent pathway which targets the epigenetic integrator UHRF1"
"15008","Abbaspour-Tehrani-Fard A","A MULTISTAGE MODEL FOR DISTRIBUTION EXPANSION PLANNING WITH DISTRIBUTED GENERATION IN A DEREGULATED ELECTRICITY MARKET"
"15009","Abbaspour H","Algebraic string bracket as a Poisson bracket"
"15010","Abbaspour-Tehrani-fard A","A novel optimal distribution system planning framework implementing distributed generation in a deregulated electricity market"
"15011","Abbaspour-Tehrani K","Siderophore-mediated iron acquisition in the entomopathogenic bacterium Pseudomonas entomophila L48 and its close relative Pseudomonas putida KT2440"
"15012","Abbaspour KC","Modeling large scale geogenic contamination of groundwater, combining geochemical expertise and statistical techniques"
"15013","Abbaspour-Tehrani-fard A","Distributed Generation Planning for Losses, Voltage Profile, Line Congestion and Total System Cost Improvement"
"15014","Abisror N","Pertussis vaccine coverage in postpartum women"
"15015","Abasht B","Using transcriptome profiling to characterize QTL regions on chicken chromosome 5"
"15016","Abastado JP","Tumor cells disseminate early, but immunosurveillance limits metastatic outgrowth, in a mouse model of melanoma"
"15017","Abastado JP","Induction of multiple CD8(+) T cell responses against the inducible Hsp70 employing an Hsp70 oligoepitope peptide"
"15018","Abastado P","Lives of the artists"
"15019","Abastado JP","Distinct role for CD8 T cells toward cutaneous tumors and visceral metastases"
"15020","Abbate I","A multicentre collaborative study on HIV drug resistance testing using 454 massively parallel pyrosequeneing"
"15021","Abat E","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"15022","Abbott B","Charged-particle multiplicities in pp interactions at root s=900 GeV measured with the ATLAS detector at the LHC ATLAS Collaboration"
"15023","Abbott B","Search for ZH -> l(+)l(-) b(b)over-bar Production in 4.2 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"15024","Abbott B","Observation of a Centrality-Dependent Dijet Asymmetry in Lead-Lead Collisions at root s(NN)=2.76 TeV with the ATLAS Detector at the LHC"
"15025","Abbott B","Search for Diphoton Events with Large Missing Transverse Energy in 6.3 fb(-1) of p(p)over-bar Collisions at root s=1.96 TeV"
"15026","Abat E","Performance of the ATLAS detector using first collision data"
"15027","Abbott B","Performance of the ATLAS detector using first collision data"
"15028","Abbate V","Incorporation of 2,3-diaminopropionic acid in linear cationic amphipathic peptides produces pH sensitive vectors"
"15029","Abbott B","Readiness of the ATLAS liquid argon calorimeter for LHC collisions"
"15030","Abbott B","Drift Time Measurement in the ATLAS Liquid Argon Electromagnetic Calorimeter using Cosmic Muons"
"15031","Abbott B","The ATLAS Inner Detector commissioning and calibration"
"15032","Abbott B","The ATLAS Simulation Infrastructure"
"15033","Abbott B","Commissioning of the ATLAS Muon Spectrometer with cosmic rays"
"15034","Abbott B","Readiness of the ATLAS Tile Calorimeter for LHC collisions"
"15035","Abbate R","A genetic variant located in the promoter of the uPAR (CD87) gene is associated with the vascular complications of systemic sclerosis"
"15036","Abetz L","CONFIRMATION OF BRIEF PAIN INVENTORY SHORT FORM (BPI-SF) ""WORST PAIN"" ITEM CUT-POINT FOR THE ASSESSMENT OF PAIN PROGRESSION IN CASTRATION-RESISTANT PROSTATE CANCER (CRPC)"
"15037","Abat E","Combined performance studies for electrons at the 2004 ATLAS combined test-beam"
"15038","Abetz L","INTERNATIONAL DEVELOPMENT OF DISEASE-SPECIFIC QUESTIONNAIRES TO ASSESS THE IMPACT OF PHENYLKETONURIA AND ITS TREATMENT ON DAILY LIFE: QUALITATIVE STEPS"
"15039","Abate H","Streamflow sensitivity to climate and land cover changes: Meki River, Ethiopia"
"15040","Abbott JC","Genome Expansion and Gene Loss in Powdery Mildew Fungi Reveal Tradeoffs in Extreme Parasitism"
"15041","Abbott B","Search for Events with Leptonic Jets and Missing Transverse Energy in p(p)over-bar Collisions at root s=1.96 TeV"
"15042","Abbott B","Search for New Fermions (""Quirks'') at the Fermilab Tevatron Collider"
"15043","Abbott NJ","Role of astrocytic leptin receptor subtypes on leptin permeation across hCMEC/D3 human brain endothelial cells"
"15044","Abbatt JPD","An overview of current issues in the uptake of atmospheric trace gases by aerosols and clouds"
